,salary_min,salary_max,currency,vacancy,link,source
0,40000.0,45000.0,руб.,Кассир (м. Пушкинская),https://hh.ru/vacancy/50978992?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
1,45000.0,80000.0,руб.,"Продавец-кассир в ""Павелецкую Плазу""",https://hh.ru/vacancy/52875977?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
2,35000.0,45000.0,руб.,Продавец-кассир,https://hh.ru/vacancy/52897143?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
3,42000.0,,руб.,Продавец-кассир (ТРЦ Columbus),https://hh.ru/vacancy/43818771?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
4,60000.0,,руб.,"Продавец-кассир Karl Lagerfeld (ТЦ ""Мега Теплый Стан"" м. Теплый Стан)",https://hh.ru/vacancy/52153216?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
5,,,,Продавец-кассир,https://hh.ru/vacancy/52008813?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
6,40000.0,,руб.,Продавец-кассир (ТРЦ Бутово Молл),https://hh.ru/vacancy/52877914?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
7,45000.0,,руб.,"Кассир (Москва, подразделение Авиапарк)",https://hh.ru/vacancy/52681363?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
8,40000.0,,руб.,Продавец-кассир (МЕГА Химки),https://hh.ru/vacancy/50305584?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
9,42000.0,,руб.,Продавец-кассир (ТРЦ Метрополис),https://hh.ru/vacancy/51047245?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
10,50000.0,,руб.,Продавец-кассир (м. Краснопресненская),https://hh.ru/vacancy/52080597?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
